time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-07-13T16:52:28.360Z,12.0962,46.2289,10,4.8,mb,,118,3.358,0.88,us,us20002x6b,2015-07-14T00:55:08.996Z,"146km SE of Zinjibar, Yemen",earthquake
2015-07-13T16:51:07.650Z,12.1733,46.1877,10,4.8,mb,,52,3.332,0.9,us,us20002x5x,2015-07-14T00:53:46.697Z,"137km SE of Zinjibar, Yemen",earthquake
2015-07-13T16:09:32.000Z,-40.5,175.04,5,4.3,mb,,,,0.83,us,us20002x5k,2015-07-14T00:12:10.616Z,"22km W of Foxton, New Zealand",earthquake
2015-07-13T15:10:52.920Z,-24.0749,-67.6258,151.02,4.5,mb,,93,1.874,0.82,us,us20002x57,2015-07-13T23:13:35.513Z,"133km W of San Antonio de los Cobres, Argentina",earthquake
2015-07-13T12:54:41.400Z,19.055,-64.1203,24,4.1,Ml,18,306,0.62073586,0.2,pr,pr15194001,2015-07-13T20:57:18.046Z,"86km NE of Road Town, British Virgin Islands",earthquake
2015-07-13T12:24:03.370Z,16.8873,-97.854,37.98,4.3,mb,,193,0.956,0.54,us,us20002x4r,2015-07-13T20:26:45.159Z,"18km SSE of Putla de Guerrero, Mexico",earthquake
2015-07-13T11:30:51.370Z,11.8994,46.3055,15.92,4.7,mb,,101,3.407,0.65,us,us20002x4e,2015-07-13T19:33:36.562Z,"168km SE of Aden, Yemen",earthquake
2015-07-13T11:26:02.770Z,26.9878,143.7105,4.64,4.7,mb,,93,1.365,1.01,us,us20002x4i,2015-07-13T19:29:45.435Z,"148km E of Chichi-shima, Japan",earthquake
2015-07-13T11:14:04.280Z,11.8971,46.339,15.92,5,mb,,78,13.751,1.11,us,us20002x43,2015-07-13T19:16:47.805Z,"171km SE of Zinjibar, Yemen",earthquake
2015-07-13T11:12:58.610Z,11.8205,46.3477,15.23,4.7,mb,,101,3.441,0.71,us,us20002x41,2015-07-13T19:15:43.108Z,"173km NW of Ceerigaabo, Somalia",earthquake
2015-07-13T09:59:26.410Z,-9.3038,158.6065,23.15,4.8,mb,,107,1.33,0.89,us,us20002x3c,2015-07-13T18:02:08.853Z,"146km SSW of Dadali, Solomon Islands",earthquake
2015-07-13T09:37:34.240Z,16.3629,-98.0862,48.41,4.7,mb,,180,1.278,0.72,us,us20002x33,2015-07-13T14:25:09.369Z,"9km NW of Santiago Pinotepa Nacional, Mexico",earthquake
2015-07-13T08:16:59.680Z,29.8769,142.8429,10,4.7,mb,,170,2.831,1.16,us,us20002x2m,2015-07-13T16:19:29.133Z,"Izu Islands, Japan region",earthquake
2015-07-13T06:52:36.830Z,31.4404,131.7708,40.96,4.8,mb,,168,1.128,0.99,us,us20002x29,2015-07-13T14:55:20.318Z,"42km ESE of Nichinan, Japan",earthquake
2015-07-13T05:16:58.950Z,61.3754,-27.4496,15.33,4.5,mb,,141,4.382,0.55,us,us20002x1y,2015-07-13T13:19:33.011Z,"Iceland region",earthquake
2015-07-13T04:43:19.680Z,-60.72,-50.4207,10,5,mb,,54,4.235,1.12,us,us20002x1u,2015-07-13T12:45:50.647Z,"Scotia Sea",earthquake
2015-07-13T04:15:31.940Z,53.2483,107.9846,13.88,4.3,mb,,119,3.084,0.62,us,us20002x1s,2015-07-13T12:18:07.446Z,"36km NNW of Turka, Russia",earthquake
2015-07-13T03:30:41.760Z,-17.5681,167.8712,35,4.8,mb,,120,3.247,0.9,us,us20002x1m,2015-07-13T05:27:29.192Z,"51km WNW of Port-Vila, Vanuatu",earthquake
2015-07-13T02:52:42.370Z,-7.6799,129.9837,9.65,4.7,mb,,77,1.337,0.77,us,us20002x1h,2015-07-13T10:55:16.613Z,"150km WNW of Saumlaki, Indonesia",earthquake
